Date,Rf - 2022 - 2023
8/1/2022 15:16:00,26.06
8/2/2022 15:16:00,27.41
8/3/2022 15:16:00,27.48
8/4/2022 15:16:00,26.76
8/5/2022 15:16:00,28.4
8/8/2022 15:16:00,27.65
8/9/2022 15:16:00,27.97
8/10/2022 15:16:00,27.86
8/11/2022 15:16:00,28.88
8/12/2022 15:16:00,28.49
8/15/2022 15:16:00,27.91
8/16/2022 15:16:00,28.24
8/17/2022 15:16:00,28.93
8/18/2022 15:16:00,28.8
8/19/2022 15:16:00,29.89
8/22/2022 15:16:00,30.37
8/23/2022 15:16:00,30.54
8/24/2022 15:16:00,31.06
8/25/2022 15:16:00,30.26
8/26/2022 15:16:00,30.35
8/29/2022 15:16:00,31.1
8/30/2022 15:16:00,31.1
8/31/2022 15:16:00,31.33
9/1/2022 15:16:00,32.65
9/2/2022 15:16:00,31.93
9/6/2022 15:16:00,33.4
9/7/2022 15:16:00,32.65
9/8/2022 15:16:00,32.92
9/9/2022 15:16:00,33.21
9/12/2022 15:16:00,33.62
9/13/2022 15:16:00,34.22
9/14/2022 15:16:00,34.12
9/15/2022 15:16:00,34.59
9/16/2022 15:16:00,34.48
9/19/2022 15:16:00,34.9
9/20/2022 15:16:00,35.71
9/21/2022 15:16:00,35.1
9/22/2022 15:16:00,37.08
9/23/2022 15:16:00,36.97
9/26/2022 15:16:00,38.78
9/27/2022 15:16:00,39.64
9/28/2022 15:16:00,37.05
9/29/2022 15:16:00,37.47
9/30/2022 15:16:00,38.04
10/3/2022 15:16:00,36.51
10/4/2022 15:16:00,36.17
10/5/2022 15:16:00,37.59
10/6/2022 15:16:00,38.26
10/7/2022 15:16:00,38.83
10/10/2022 15:16:00,38.88
10/11/2022 15:16:00,39.39
10/12/2022 15:16:00,39.02
10/13/2022 15:16:00,39.52
10/14/2022 15:16:00,40.1
10/17/2022 15:16:00,40.15
10/18/2022 15:16:00,39.98
10/19/2022 15:16:00,41.27
10/20/2022 15:16:00,42.26
10/21/2022 15:16:00,42.13
10/24/2022 15:16:00,42.34
10/25/2022 15:16:00,41.08
10/26/2022 15:16:00,40.15
10/27/2022 15:16:00,39.37
10/28/2022 15:16:00,40.1
10/31/2022 15:16:00,40.77
11/1/2022 15:16:00,40.52
11/2/2022 15:16:00,40.59
11/3/2022 15:16:00,41.24
11/4/2022 15:16:00,41.56
11/7/2022 15:16:00,42.14
11/8/2022 15:16:00,41.26
11/9/2022 15:16:00,41.51
11/10/2022 15:16:00,38.29
11/11/2022 15:16:00,38.13
11/14/2022 15:16:00,38.65
11/15/2022 15:16:00,37.99
11/16/2022 15:16:00,36.92
11/17/2022 15:16:00,37.75
11/18/2022 15:16:00,38.18
11/21/2022 15:16:00,38.25
11/22/2022 15:16:00,37.58
11/23/2022 15:16:00,37.06
11/25/2022 13:00:00,36.91
11/28/2022 15:16:00,37.03
11/29/2022 15:16:00,37.48
11/30/2022 15:16:00,37.03
12/1/2022 15:16:00,35.29
12/2/2022 15:16:00,35.06
12/5/2022 15:16:00,35.99
12/6/2022 15:16:00,35.13
12/7/2022 15:16:00,34.08
12/8/2022 15:16:00,34.91
12/9/2022 15:16:00,35.67
12/12/2022 15:16:00,36.11
12/13/2022 15:16:00,35.01
12/14/2022 15:16:00,35.03
12/15/2022 15:16:00,34.5
12/16/2022 15:16:00,34.82
12/19/2022 15:16:00,35.81
12/20/2022 15:16:00,36.84
12/21/2022 15:16:00,36.84
12/22/2022 15:16:00,36.69
12/23/2022 15:16:00,37.51
12/27/2022 15:16:00,38.6
12/28/2022 15:16:00,38.87
12/29/2022 15:16:00,38.35
12/30/2022 15:16:00,38.79
1/3/2023 15:16:00,37.93
1/4/2023 15:16:00,37.09
1/5/2023 15:16:00,37.2
1/6/2023 15:16:00,35.69
1/9/2023 15:16:00,35.17
1/10/2023 15:16:00,36.21
1/11/2023 15:16:00,35.54
1/12/2023 15:16:00,34.49
1/13/2023 15:16:00,35.11
1/17/2023 15:16:00,35.35
1/18/2023 15:16:00,33.75
1/19/2023 15:16:00,33.97
1/20/2023 15:16:00,34.84
1/23/2023 15:16:00,35.25
1/24/2023 15:16:00,34.69
1/25/2023 15:16:00,34.62
1/26/2023 15:16:00,34.93
1/27/2023 15:16:00,35.18
1/30/2023 15:16:00,35.51
1/31/2023 15:16:00,35.29
2/1/2023 15:16:00,33.97
2/2/2023 15:16:00,33.96
2/3/2023 15:16:00,35.32
2/6/2023 15:16:00,36.34
2/7/2023 15:16:00,36.74
2/8/2023 15:16:00,36.53
2/9/2023 15:16:00,36.83
2/10/2023 15:16:00,37.44
2/13/2023 15:16:00,37.17
2/14/2023 15:16:00,37.61
2/15/2023 15:16:00,38.09
2/16/2023 15:16:00,38.43
2/17/2023 15:16:00,38.28
2/21/2023 15:16:00,39.55
2/22/2023 15:16:00,39.23
2/23/2023 15:16:00,38.79
2/24/2023 15:16:00,39.49
2/27/2023 15:16:00,39.22
2/28/2023 15:16:00,39.16
3/1/2023 15:16:00,39.94
3/2/2023 15:16:00,40.73
3/3/2023 15:16:00,39.64
3/6/2023 15:16:00,39.83
3/7/2023 15:16:00,39.75
3/8/2023 15:16:00,39.76
3/9/2023 15:16:00,39.25
3/10/2023 15:16:00,36.95
3/13/2023 15:16:00,35.15
3/14/2023 15:16:00,36.38
3/15/2023 15:16:00,34.92
3/16/2023 15:16:00,35.85
3/17/2023 15:16:00,33.95
3/20/2023 15:16:00,34.81
3/21/2023 15:16:00,36.06
3/22/2023 15:16:00,35
3/23/2023 15:16:00,34.06
3/24/2023 15:16:00,33.8
3/27/2023 15:16:00,35.28
3/28/2023 15:16:00,35.64
3/29/2023 15:16:00,35.66
3/30/2023 15:16:00,35.51
3/31/2023 15:16:00,34.94
4/3/2023 15:16:00,34.3
4/4/2023 15:16:00,33.37
4/5/2023 15:16:00,32.87
4/6/2023 15:16:00,32.88
4/10/2023 15:16:00,34.15
4/11/2023 15:16:00,34.34
4/12/2023 15:16:00,34.21
4/13/2023 15:16:00,34.52
4/14/2023 15:16:00,35.22
4/17/2023 15:16:00,35.91
4/18/2023 15:16:00,35.72
4/19/2023 15:16:00,36.02
4/20/2023 15:16:00,35.45
4/21/2023 15:16:00,35.7
4/24/2023 15:16:00,35.15
4/25/2023 15:16:00,33.96
4/26/2023 15:16:00,34.32
4/27/2023 15:16:00,35.28
4/28/2023 15:16:00,34.52
5/1/2023 15:16:00,35.74
5/2/2023 15:16:00,34.39
5/3/2023 15:16:00,34.03
5/4/2023 15:16:00,33.51
5/5/2023 15:16:00,34.46
5/8/2023 15:16:00,35.21
5/9/2023 15:16:00,35.21
5/10/2023 15:16:00,34.39
5/11/2023 15:16:00,33.97
5/12/2023 15:16:00,34.63
5/15/2023 15:16:00,35.08
5/16/2023 15:16:00,35.49
5/17/2023 15:16:00,35.81
5/18/2023 15:16:00,36.48
5/19/2023 15:16:00,36.92
5/22/2023 15:16:00,37.19
5/23/2023 15:16:00,36.98
5/24/2023 15:16:00,37.19
5/25/2023 15:16:00,38.14
5/26/2023 15:16:00,38.1
5/30/2023 15:16:00,37
5/31/2023 15:16:00,36.37
6/1/2023 15:16:00,36.08
6/2/2023 15:16:00,36.91
6/5/2023 15:16:00,36.93
6/6/2023 15:16:00,36.99
6/7/2023 15:16:00,37.84
6/8/2023 15:16:00,37.14
6/9/2023 15:16:00,37.45
6/12/2023 15:16:00,37.65
6/13/2023 15:16:00,38.39
6/14/2023 15:16:00,37.96
6/15/2023 15:16:00,37.28
6/16/2023 15:16:00,37.69
6/20/2023 15:16:00,37.29
6/21/2023 15:16:00,37.23
6/22/2023 15:16:00,37.99
6/23/2023 15:16:00,37.39
6/26/2023 15:16:00,37.19
6/27/2023 15:16:00,37.68
6/28/2023 15:16:00,37.1
6/29/2023 15:16:00,38.54
6/30/2023 15:16:00,38.19
7/3/2023 13:00:00,38.58
7/5/2023 15:16:00,39.45
7/6/2023 15:16:00,40.41
7/7/2023 15:16:00,40.5
7/10/2023 15:16:00,40.06
7/11/2023 15:16:00,39.8
7/12/2023 15:16:00,38.61
7/13/2023 15:16:00,37.61
7/14/2023 15:16:00,38.19
7/17/2023 15:16:00,37.97
7/18/2023 15:16:00,37.89
7/19/2023 15:16:00,37.42
7/20/2023 15:16:00,38.54
7/21/2023 15:16:00,38.37
7/24/2023 15:16:00,38.57
7/25/2023 15:16:00,39.12
7/26/2023 15:16:00,38.51
7/27/2023 15:16:00,40.12
7/28/2023 15:16:00,39.69
7/31/2023 15:16:00,39.59
8/1/2023 15:16:00,40.51
8/2/2023 15:16:00,40.78
8/3/2023 15:16:00,41.89
8/4/2023 15:16:00,40.6
8/7/2023 15:16:00,40.78
8/8/2023 15:16:00,40.26
8/9/2023 15:16:00,40.12
8/10/2023 15:16:00,40.8
8/11/2023 15:16:00,41.68
8/14/2023 15:16:00,41.84
8/15/2023 15:16:00,42.21
8/16/2023 15:16:00,42.58
8/17/2023 15:16:00,43.08
8/18/2023 15:16:00,42.51
8/21/2023 15:16:00,43.42
8/22/2023 15:16:00,43.28
8/23/2023 15:16:00,41.98
8/24/2023 15:16:00,42.35
8/25/2023 15:16:00,42.39
8/28/2023 15:16:00,42.12
8/29/2023 15:16:00,41.22
8/30/2023 15:16:00,41.18
8/31/2023 15:16:00,40.93
9/1/2023 15:16:00,41.73
9/5/2023 15:16:00,42.68
9/6/2023 15:16:00,42.9
9/7/2023 15:16:00,42.6
9/8/2023 15:16:00,42.58
