Date,TSLA
1/2/2018,21.37
1/3/2018,21.15
1/4/2018,20.97
1/5/2018,21.11
1/8/2018,22.43
1/9/2018,22.25
1/10/2018,22.32
1/11/2018,22.53
1/12/2018,22.41
1/16/2018,22.67
1/17/2018,23.14
1/18/2018,22.97
1/19/2018,23.33
1/22/2018,23.44
1/23/2018,23.52
1/24/2018,23.06
1/25/2018,22.51
1/26/2018,22.86
1/29/2018,23.3
1/30/2018,23.05
1/31/2018,23.62
2/1/2018,23.28
2/2/2018,22.92
2/5/2018,22.21
2/6/2018,22.26
2/7/2018,23
2/8/2018,21.02
2/9/2018,20.69
2/12/2018,21.05
2/13/2018,21.58
2/14/2018,21.49
2/15/2018,22.27
2/16/2018,22.37
2/20/2018,22.32
2/21/2018,22.22
2/22/2018,23.08
2/23/2018,23.47
2/26/2018,23.83
2/27/2018,23.4
2/28/2018,22.87
3/1/2018,22.06
3/2/2018,22.34
3/5/2018,22.22
3/6/2018,21.88
3/7/2018,22.15
3/8/2018,21.94
3/9/2018,21.81
3/12/2018,23.03
3/13/2018,22.79
3/14/2018,21.78
3/15/2018,21.71
3/16/2018,21.42
3/19/2018,20.9
3/20/2018,20.7
3/21/2018,21.1
3/22/2018,20.61
3/23/2018,20.1
3/26/2018,20.28
3/27/2018,18.61
3/28/2018,17.19
3/29/2018,17.74
4/2/2018,16.83
4/3/2018,17.84
4/4/2018,19.13
4/5/2018,20.38
4/6/2018,19.95
4/9/2018,19.31
4/10/2018,20.31
4/11/2018,20.06
4/12/2018,19.61
4/13/2018,20.02
4/16/2018,19.41
4/17/2018,19.18
4/18/2018,19.56
4/19/2018,20.01
4/20/2018,19.35
4/23/2018,18.89
4/24/2018,18.9
4/25/2018,18.71
4/26/2018,19.03
4/27/2018,19.61
4/30/2018,19.59
5/1/2018,19.99
5/2/2018,20.08
5/3/2018,18.96
5/4/2018,19.61
5/7/2018,20.18
5/8/2018,20.13
5/9/2018,20.46
5/10/2018,20.33
5/11/2018,20.07
5/14/2018,19.46
5/15/2018,18.95
5/16/2018,19.1
5/17/2018,18.97
5/18/2018,18.97
5/21/2018,18.97
5/22/2018,18.33
5/23/2018,18.6
5/24/2018,18.52
5/25/2018,18.59
5/29/2018,18.92
5/30/2018,19.45
5/31/2018,18.98
6/1/2018,19.45
6/4/2018,19.78
6/5/2018,19.41
6/6/2018,21.3
6/7/2018,21.07
6/8/2018,21.18
6/11/2018,22.14
6/12/2018,22.85
6/13/2018,22.99
6/14/2018,23.85
6/15/2018,23.88
6/18/2018,24.72
6/19/2018,23.5
6/20/2018,24.15
6/21/2018,23.17
6/22/2018,22.24
6/25/2018,22.2
6/26/2018,22.8
6/27/2018,22.97
6/28/2018,23.33
6/29/2018,22.86
7/2/2018,22.34
7/3/2018,20.72
7/5/2018,20.61
7/6/2018,20.59
7/9/2018,21.23
7/10/2018,21.5
7/11/2018,21.26
7/12/2018,21.11
7/13/2018,21.26
7/16/2018,20.67
7/17/2018,21.51
7/18/2018,21.59
7/19/2018,21.35
7/20/2018,20.91
7/23/2018,20.21
7/24/2018,19.83
7/25/2018,20.58
7/26/2018,20.44
7/27/2018,19.81
7/30/2018,19.34
7/31/2018,19.88
8/1/2018,20.06
8/2/2018,23.3
8/3/2018,23.21
8/6/2018,22.8
8/7/2018,25.3
8/8/2018,24.69
8/9/2018,23.5
8/10/2018,23.7
8/13/2018,23.76
8/14/2018,23.18
8/15/2018,22.58
8/16/2018,22.36
8/17/2018,20.37
8/20/2018,20.56
8/21/2018,21.46
8/22/2018,21.44
8/23/2018,21.34
8/24/2018,21.52
8/27/2018,21.28
8/28/2018,20.79
8/29/2018,20.33
8/30/2018,20.21
8/31/2018,20.11
9/4/2018,19.26
9/5/2018,18.72
9/6/2018,18.73
9/7/2018,17.55
9/10/2018,19.03
9/11/2018,18.63
9/12/2018,19.37
9/13/2018,19.3
9/14/2018,19.68
9/17/2018,19.66
9/18/2018,19
9/19/2018,19.93
9/20/2018,19.89
9/21/2018,19.94
9/24/2018,19.98
9/25/2018,20.07
9/26/2018,20.64
9/27/2018,20.5
9/28/2018,17.65
10/1/2018,20.71
10/2/2018,20.07
10/3/2018,19.65
10/4/2018,18.79
10/5/2018,17.46
10/8/2018,16.7
10/9/2018,17.52
10/10/2018,17.13
10/11/2018,16.82
10/12/2018,17.25
10/15/2018,17.31
10/16/2018,18.44
10/17/2018,18.12
10/18/2018,17.59
10/19/2018,17.33
10/22/2018,17.4
10/23/2018,19.61
10/24/2018,19.23
10/25/2018,20.99
10/26/2018,22.06
10/29/2018,22.32
10/30/2018,21.99
10/31/2018,22.49
11/1/2018,22.95
11/2/2018,23.09
11/5/2018,22.76
11/6/2018,22.74
11/7/2018,23.21
11/8/2018,23.43
11/9/2018,23.37
11/12/2018,22.09
11/13/2018,22.58
11/14/2018,22.93
11/15/2018,23.23
11/16/2018,23.62
11/19/2018,23.56
11/20/2018,23.17
11/21/2018,22.55
11/23/2018,21.72
11/26/2018,23.07
11/27/2018,22.93
11/28/2018,23.19
11/29/2018,22.74
11/30/2018,23.37
12/3/2018,23.9
12/4/2018,23.98
12/6/2018,24.2
12/7/2018,23.86
12/10/2018,24.34
12/11/2018,24.45
12/12/2018,24.44
12/13/2018,25.12
12/14/2018,24.38
12/17/2018,23.23
12/18/2018,22.47
12/19/2018,22.2
12/20/2018,21.03
12/21/2018,21.32
12/24/2018,19.69
12/26/2018,21.74
12/27/2018,21.08
12/28/2018,22.26
