Date,VISA
1/2/2018,114.51
1/3/2018,115.65
1/4/2018,116.08
1/5/2018,118.86
1/8/2018,119.34
1/9/2018,119.11
1/10/2018,118.98
1/11/2018,119.84
1/12/2018,120.09
1/16/2018,120.39
1/17/2018,121.98
1/18/2018,123.11
1/19/2018,122.7
1/22/2018,124.33
1/23/2018,124.65
1/24/2018,124.55
1/25/2018,125.22
1/26/2018,126.32
1/29/2018,124.84
1/30/2018,123.55
1/31/2018,124.23
2/1/2018,125.72
2/2/2018,120.91
2/5/2018,116.27
2/6/2018,119.97
2/7/2018,119.65
2/8/2018,113.86
2/9/2018,116.32
2/12/2018,118.47
2/13/2018,118.35
2/14/2018,120.83
2/15/2018,122.28
2/16/2018,121.85
2/20/2018,122.01
2/21/2018,120.43
2/22/2018,120.38
2/23/2018,122.93
2/26/2018,124.59
2/27/2018,123.37
2/28/2018,122.94
3/1/2018,120.4
3/2/2018,120.77
3/5/2018,121.88
3/6/2018,121.06
3/7/2018,121.85
3/8/2018,122.22
3/9/2018,124.51
3/12/2018,124.24
3/13/2018,123.2
3/14/2018,122.58
3/15/2018,123.41
3/16/2018,124.53
3/19/2018,123.21
3/20/2018,124.91
3/21/2018,123.22
3/22/2018,119.99
3/23/2018,117
3/26/2018,120.64
3/27/2018,117.4
3/28/2018,116.99
3/29/2018,119.62
4/2/2018,118.39
4/3/2018,119.2
4/4/2018,119.81
4/5/2018,121.19
4/6/2018,117.7
4/9/2018,118.79
4/10/2018,120.72
4/11/2018,119.78
4/12/2018,121.07
4/13/2018,120.75
4/16/2018,121.88
4/17/2018,123.8
4/18/2018,124.48
4/19/2018,123.96
4/20/2018,124.2
4/23/2018,124.46
4/24/2018,121.27
4/25/2018,121.21
4/26/2018,127.08
4/27/2018,126.01
4/30/2018,126.88
5/1/2018,127.51
5/2/2018,126.38
5/3/2018,127.18
5/4/2018,128.16
5/7/2018,129.26
5/8/2018,129.9
5/9/2018,130.84
5/10/2018,130.84
5/11/2018,131.82
5/14/2018,131.21
5/15/2018,131.1
5/16/2018,130.89
5/17/2018,129.93
5/18/2018,129.93
5/21/2018,130.66
5/22/2018,130.71
5/23/2018,131.88
5/24/2018,131.89
5/25/2018,131.28
5/29/2018,129.69
5/30/2018,130.64
5/31/2018,130.64
6/1/2018,130.85
6/4/2018,133.07
6/5/2018,133.56
6/6/2018,136.28
6/7/2018,133.84
6/8/2018,134.74
6/11/2018,133.91
6/12/2018,134.86
6/13/2018,134.4
6/14/2018,135
6/15/2018,135.1
6/18/2018,136.2
6/19/2018,135.11
6/20/2018,135.5
6/21/2018,134.53
6/22/2018,135.33
6/25/2018,130.93
6/26/2018,132.55
6/27/2018,131.02
6/28/2018,132.74
6/29/2018,132.45
7/2/2018,132.5
7/3/2018,131.45
7/5/2018,133.29
7/6/2018,134.09
7/9/2018,135.52
7/10/2018,136.69
7/11/2018,138.15
7/12/2018,139.9
7/13/2018,139.42
7/16/2018,138.46
7/17/2018,139.64
7/18/2018,140.9
7/19/2018,140.13
7/20/2018,140.99
7/23/2018,140.03
7/24/2018,140.03
7/25/2018,142.64
7/26/2018,142.5
7/27/2018,140.71
7/30/2018,136.48
7/31/2018,136.74
8/1/2018,138.25
8/2/2018,138.92
8/3/2018,139.82
8/6/2018,139.71
8/7/2018,140.28
8/8/2018,140.68
8/9/2018,140.01
8/10/2018,139.73
8/13/2018,140.21
8/14/2018,140.76
8/15/2018,139.92
8/16/2018,140.65
8/17/2018,141.33
8/20/2018,140.94
8/21/2018,140.04
8/22/2018,141.14
8/23/2018,142.1
8/24/2018,144.2
8/27/2018,145.4
8/28/2018,145.2
8/29/2018,147.03
8/30/2018,146.74
8/31/2018,146.89
9/4/2018,147.8
9/5/2018,142.67
9/6/2018,144.5
9/7/2018,143.2
9/10/2018,144.08
9/11/2018,145.49
9/12/2018,146.57
9/13/2018,147.63
9/14/2018,147.84
9/17/2018,146.18
9/18/2018,147.63
9/19/2018,147.42
9/20/2018,149.24
9/21/2018,150.05
9/24/2018,149.11
9/25/2018,149.58
9/26/2018,149.27
9/27/2018,150.02
9/28/2018,150.09
10/1/2018,150.79
10/2/2018,149.67
10/3/2018,149.37
10/4/2018,146.76
10/5/2018,145.36
10/8/2018,141.89
10/9/2018,142.31
10/10/2018,135.52
10/11/2018,133.73
10/12/2018,140.06
10/15/2018,137.23
10/16/2018,141.74
10/17/2018,142.45
10/18/2018,139.29
10/19/2018,140.08
10/22/2018,140.64
10/23/2018,139.12
10/24/2018,134.26
10/25/2018,140.52
10/26/2018,137.74
10/29/2018,134.33
10/30/2018,132.76
10/31/2018,137.85
11/1/2018,140.83
11/2/2018,139.78
11/5/2018,139.8
11/6/2018,140.79
11/7/2018,144.78
11/8/2018,145.23
11/9/2018,143.93
11/12/2018,139.72
11/13/2018,139.72
11/14/2018,139.49
11/15/2018,141.84
11/16/2018,140.18
11/19/2018,134.76
11/20/2018,133.37
11/21/2018,134.42
11/23/2018,132.87
11/26/2018,135.94
11/27/2018,135.91
11/28/2018,141.38
11/29/2018,139.1
11/30/2018,141.71
12/3/2018,145
12/4/2018,138.64
12/6/2018,141.05
12/7/2018,137.11
12/10/2018,137.88
12/11/2018,136.81
12/12/2018,137.8
12/13/2018,137.54
12/14/2018,135.09
12/17/2018,131.4
12/18/2018,132.66
12/19/2018,131.26
12/20/2018,128.76
12/21/2018,124.26
12/24/2018,121.73
12/26/2018,130.23
12/27/2018,132.01
12/28/2018,130.94
